Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
8500207,"Rissole  (queijo, carne, camarão, etc.)",274.6,RISSOLE  QUEIJO CARNE CAMARAO
8500209,Acarajé,289.0,ACARAJE
8500210,Torresmo ,544.0,TORRESMO
8500211,Quibe ,274.6,QUIBE
8500212,Abará (Bahia),289.0,ABARA BAHIA
8500213,Paçoca de carne de sol,354.00202,PACOCA CARNE SOL
8500215,Angu frito,74.596,ANGU FRITO
8500217,Angu de milho ,60.584,ANGU MILHO
8500218,Polenta ,74.596,POLENTA
8500222,Esfirra ,359.422,ESFIRRA
8500223,Esfirra de carne ,346.452,ESFIRRA CARNE
8500224,Esfirra de queijo ,359.422,ESFIRRA QUEIJO
8500225,Esfirra de ricota ,320.394,ESFIRRA RICOTA
8500226,Esfirra de frango ,222.391,ESFIRRA FRANGO
8500227,Enroladinho ,274.6,ENROLADINHO
8500228,Bolinho de aipim,212.637,BOLINHO AIPIM
8500232,Bolinho de bacalhau,214.013,BOLINHO BACALHAU
8500302,Cachorro-quente ,272.469,CACHORRO QUENTE
8500303,Hambúrguer (sanduíche),267.164,HAMBURGUER SANDUICHE
8500304,Cheeseburger ,279.85,CHEESEBURGER
8500305,Eggsburger ,269.437,EGGSBURGER
8500307,Bauru ,229.465,BAURU
8500308,Americano,236.679,AMERICANO
8500313,Misto-quente ou frio ,265.417,MISTO QUENTE FRIO
8500315,Sanduíche de queijo prato,329.293,SANDUICHE QUEIJO PRATO
8500316,Sanduíche de salame,282.988,SANDUICHE SALAME
8500317,Sanduíche de presunto,230.333,SANDUICHE PRESUNTO
8500318,Sanduíche de queijo prato com presunto,265.417,SANDUICHE QUEIJO PRATO PRESUNTO
8500319,Sanduíche de mortadela,315.972,SANDUICHE MORTADELA
8500320,Sanduíche de queijo minas,329.293,SANDUICHE QUEIJO MINAS
8500321,Cheese egg,279.85,CHEESE EGG
8500322,Cheese tudo,279.85,CHEESE TUDO
8500323,Sanduíche natural,245.583,SANDUICHE NATURAL
8500401,Suco ,41.826,SUCO
8500402,Suco de abacaxi ,53.206,SUCO ABACAXI
8500403,Suco de acerola ,23.056,SUCO ACEROLA
8500404,Suco de beterraba ,30.772,SUCO BETERRABA
8500405,Suco de cupuaçu ,24.5,SUCO CUPUACU
8500406,Suco de goiaba ,62.284,SUCO GOIABA
8500407,Suco de laranja ,41.826,SUCO LARANJA
8500408,Suco de laranja com banana ,56.799,SUCO LARANJA BANANA
8500409,Suco de laranja e beterraba ,30.772,SUCO LARANJA BETERRABA
8500410,Suco de laranja e cenoura ,30.772,SUCO LARANJA CENOURA
8500411,Suco de laranja cenoura e beterraba,30.772,SUCO LARANJA CENOURA BETERRABA
8500412,Suco de mamão ,57.13,SUCO MAMAO
8500413,Suco de manga ,50.862,SUCO MANGA
8500414,Suco de maracujá ,60.137,SUCO MARACUJA
8500415,Suco de melão ,31.79,SUCO MELAO
8500416,Suco de morango ,59.209,SUCO MORANGO
8500417,Suco de pêssego ,53.993,SUCO PESSEGO
8500418,Suco de pêssego em calda ,53.993,SUCO PESSEGO CALDA
8500501,Vitamina ,92.781,VITAMINA
8500503,Vitamina de banana ,92.781,VITAMINA BANANA
8500504,Vitamina de banana com aveia ,108.457,VITAMINA BANANA AVEIA
8500505,Vitamina de mamão ,80.591,VITAMINA MAMAO
8500506,Vitamina de abacate ,100.188,VITAMINA ABACATE
8500507,Vitamina de morango ,74.607,VITAMINA MORANGO
8500508,Vitamina mista,83.164,VITAMINA MISTA
8500509,Vitamina de maçã,82.986,VITAMINA MACA
8500601,Refresco ,46.805,REFRESCO
8500602,Refresco de caju ,46.805,REFRESCO CAJU
8500603,Refresco de groselha ,46.805,REFRESCO GROSELHA
8500604,Refresco de laranja ,46.805,REFRESCO LARANJA
8500605,Refresco de maracujá ,46.805,REFRESCO MARACUJA
8500606,Refresco de limão,46.805,REFRESCO LIMAO
8500801,"Salada ou verdura cozida, exceto de fruta",26.0,SALADA VERDURA COZIDA EXCETO FRUTA
8500802,Salada de maionese ,209.794,SALADA MAIONESE
8500903,Pizza ,281.198,PIZZA
8500904,Lasanha pronta light ,158.633,LASANHA PRONTA LIGHT
8500905,Nhoque ,190.542,NHOQUE
8500906,Caneloni,120.86,CANELONI
8500907,Capeleti ,95.24,CAPELETI
8500909,Ravioli ,95.24,RAVIOLI
8500910,Calzone ,245.75,CALZONE
8500913,Panqueca,203.179,PANQUECA
8500914,Pizza calabreza,284.722,PIZZA CALABREZA
8500915,Pizza muçarela,281.198,PIZZA MUCARELA
8500916,Pizza presunto,284.722,PIZZA PRESUNTO
8500917,Pizza portuguesa,247.487,PIZZA PORTUGUESA
8500919,Macarronada,120.586,MACARRONADA
8501004,Galeto ,261.659,GALETO
8501104,Costela,365.0,COSTELA
8501202,Pipoca doce ou salgada ,468.154,PIPOCA DOCE SALGADA
8501302,Café ,1.001,CAFE
8501303,Café com leite ,31.441,CAFE LEITE
8501304,Café tipo expresso,2.445,CAFE TIPO EXPRESSO
8501305,Café tipo capuccino,27.707,CAFE TIPO CAPUCCINO
8501402,Milho cozido ,160.141,MILHO COZIDO
8501502,Batata palito,263.5,BATATA PALITO
8501503,Batata palha,545.703,BATATA PALHA
8501902,Mungunzá ,146.0,MUNGUNZA
8501903,Canjica ,146.0,CANJICA
8501904,Curau,78.243,CURAU
8502201,Farofa ,406.0,FAROFA
8502301,"Mingau (fubá,  aveia, farinha, etc.) ",78.243,MINGAU FUBA  AVEIA FARINHA
8502401,Tacacá ,16.0,TACACA
8502501,Bolinho de coco ,297.322,BOLINHO COCO
8502701,Risoto,113.016,RISOTO
8502801,Vatapá ,226.068,VATAPA
8502901,Farofa pronta ,406.0,FAROFA PRONTA
8503202,Caldo de carne ,7.02,CALDO CARNE
8503203,Caldo-de-feijão ,75.499,CALDO DE FEIJAO
8503204,Caldo de mocotó ,7.02,CALDO MOCOTO
8503501,Baião de dois,136.0,BAIAO DOIS
8503801,Churrasco,204.0,CHURRASCO
8504201,Sushi,146.775,SUSHI
8504401,Salada de frutas ,51.241,SALADA FRUTAS
8504501,"Sopa (legumes, carne, etc.)",28.776,SOPA LEGUMES CARNE
8504801,Salpicão ,202.853,SALPICAO
8505201,Charuto de repolho,84.911,CHARUTO REPOLHO
8505401,Arroz à grega ,92.005,ARROZ GREGA
8505501,Arrumadinho,198.856,ARRUMADINHO
8505601,Bobó de camarão ,72.1,BOBO CAMARAO
8505701,"Caruru (quiabo, amendoim, castanha de caju, camarão seco, etc.)",215.87,CARURU QUIABO AMENDOIM CASTANHA CAJU CAMARAO SECO
8505801,Cuscuz paulista ,142.0,CUSCUZ PAULISTA
8505901,"Empadão (queijo, frango, camarão, palmito, etc.)",153.963,EMPADAO QUEIJO FRANGO CAMARAO PALMITO
8506001,Farofa de banana,309.5525,FAROFA BANANA
8506101,Feijão-tropeiro ,198.856,FEIJAO TROPEIRO
8506201,Galinha com arroz ,143.501,GALINHA ARROZ
8506301,Galinhada ,143.501,GALINHADA
8506401,Moqueca baiana ,130.13,MOQUECA BAIANA
8506501,Omelete ,241.618,OMELETE
8506601,Pirão ,119.648,PIRAO
8506701,Quibebe ,36.387,QUIBEBE
8506801,Quiche,282.726,QUICHE
8506901,Suflê ,126.098,SUFLE
8507001,Tutu ,123.7645,TUTU
8507101,Moqueca capixaba ,100.524,MOQUECA CAPIXABA
8507201,Maniçoba ,181.849,MANICOBA
8507301,Caldo verde ,94.918,CALDO VERDE
8507401,Arroz de cuxá,102.7360619949933,ARROZ CUXA
8507501,Angu à baiana,125.337,ANGU BAIANA
8507601,Chocolate,535.0,CHOCOLATE
8507701,Gemada ,134.794,GEMADA
8507801,Açaí com granola,110.0,ACAI GRANOLA
8507901,Suco orgânico ,41.826,SUCO ORGANICO
8507902,Suco de abacaxi orgânico ,53.206,SUCO ABACAXI ORGANICO
8507903,Suco de acerola orgânico ,23.056,SUCO ACEROLA ORGANICO
8507906,Suco de goiaba orgânico ,62.284,SUCO GOIABA ORGANICO
8507907,Suco de laranja orgânico ,41.826,SUCO LARANJA ORGANICO
8507911,Suco de laranja cenoura e beterraba orgânico ,30.772,SUCO LARANJA CENOURA BETERRABA ORGANICO
